,Weight(Pounds)
312,115.3108
313,122.3844
314,129.2323
315,138.2824
316,144.0565
317,120.8482
318,113.3034
319,149.3227
320,130.6373
321,122.387
322,133.8677
323,134.8336
324,137.8363
325,112.6812
326,121.1964
327,114.9262
328,110.3762
329,126.0337
330,118.7008
331,119.3108
332,150.7397
333,121.1142
334,118.4065
335,142.759
336,145.6305
337,127.3425
338,115.9678
339,104.4441
340,138.4905
341,145.5049
342,124.4065
343,124.1866
344,126.1659
345,138.8125
346,121.5515
347,114.2555
348,129.4022
349,137.5583
350,134.4996
351,127.7103
352,115.6709
353,131.5906
354,127.5839
355,125.7211
356,119.9885
357,140.8676
358,136.9164
359,118.4759
360,129.5516
361,152.0714
362,120.8646
363,136.1027
364,130.0611
365,131.7743
366,139.38
367,168.229
368,127.6446
369,131.8008
370,122.8561
371,140.2133
372,142.6929
373,137.4299
374,126.0392
375,143.5985
376,122.62
377,108.6044
378,100.6617
379,116.1397
380,140.5293
381,125.6907
382,134.3329
383,136.4649
384,127.8822
385,123.1361
386,116.3375
387,124.5581
388,125.7853
389,107.5905
390,143.0236
391,118.7434
392,118.9856
393,131.8744
394,119.3691
395,126.1223
396,126.6122
397,113.5597
398,115.8413
399,130.2738
400,125.4542
401,117.1655
402,137.3184
403,149.4447
404,151.0695
405,116.9994
406,138.1787
407,127.621
408,120.7514
409,144.2537
410,105.7939
411,120.1567
412,109.0848
413,125.971
414,110.2325
415,134.4706
416,115.5067
417,125.1086
418,116.4113
419,133.3944
420,108.7478
421,134.3986
422,131.2085
423,130.8318
424,127.0838
425,119.4067
426,105.5616
427,134.4733
428,132.6897
429,126.058
430,126.3532
431,142.3603
432,124.5873
433,122.3604
434,123.2298
435,131.4049
436,124.3037
437,128.3836
438,136.853
439,118.0569
440,121.4969
441,119.2811
442,126.5545
443,129.2477
444,134.7804
445,146.0725
446,162.4109
447,130.1885
448,132.1941
449,127.4591
450,125.3466
451,134.7559
452,121.9395
453,125.6688
454,145.956
455,119.9207
456,111.5093
457,138.676
458,135.0151
459,116.509
460,123.9575
461,136.952
462,153.0797
463,126.357
464,145.0614
465,135.1739
466,108.806
467,110.5155
468,138.2685
469,119.5111
470,115.3214
471,132.3684
472,93.99438
473,127.4051
474,134.3024
475,124.9721
476,124.072
477,133.5476
478,134.1509
479,130.2489
480,138.0935
481,126.6064
482,131.8076
483,131.7363
484,117.6261
485,126.1943
486,127.5132
487,142.4785
488,139.444
489,110.3204
490,131.9541
491,129.2037
492,124.3513
493,126.5251
494,149.2303
495,142.1577
496,127.1436
497,122.3353
498,112.6659
499,134.2647
500,120.6936
501,115.783
502,128.6855
503,134.7611
504,118.3419
505,106.1557
506,126.3823
507,114.3716
508,130.2787
509,123.3066
510,122.8571
511,125.6932
512,111.7247
513,125.5516
514,119.9702
515,132.6043
516,132.6738
517,117.4521
518,101.8549
519,128.4418
520,134.0414
521,127.7511
522,127.6172
523,139.3971
524,113.9381
525,147.5188
526,132.6523
527,132.8139
528,105.0942
529,127.5187
530,130.7305
531,128.5815
532,122.5699
533,157.2961
534,121.1097
535,147.5061
536,117.493
537,132.4472
538,118.1774
539,123.7319
540,130.365
541,122.8882
542,107.8693
543,118.591
544,125.6467
545,148.6016
546,150.279
547,127.0678
548,128.7122
549,118.4233
550,125.3879
551,149.2676
552,107.3484
553,133.6992
554,124.8508
555,112.7028
556,127.8407
557,134.1615
558,138.6031
559,126.044
560,129.5856
561,134.1054
562,106.1251
563,127.0561
564,121.9241
565,150.7365
566,116.0061
567,125.4748
568,131.6099
569,129.0696
570,129.1117
571,148.1624
572,105.388
573,110.5447
574,118.6402
575,122.8151
576,124.887
577,135.7695
578,116.4563
579,125.3617
580,133.122
581,138.3328
582,124.4972
583,136.7205
584,115.0153
585,132.6366
586,143.1323
587,134.7422
588,122.6246
589,153.5634
590,126.289
591,134.7206
592,134.5987
593,118.3945
594,121.2997
595,132.2844
596,139.0617
597,110.698
598,154.1073
599,124.1592
600,134.5173
601,138.2622
602,149.0801
603,127.0075
604,117.8222
605,148.9096
606,128.2151
607,129.6944
608,125.5674
609,128.7947
610,124.187
611,151.4167
612,106.9803
613,145.6221
614,121.5926
615,130.9386
616,135.6203
617,123.9315
618,131.9955
619,117.484
620,129.6577
621,122.3706
622,114.5867
623,116.5401
624,139.4307
625,123.4822
626,132.5492
627,143.4013
628,132.9429
629,98.8972
630,122.4342
631,104.6767
632,142.7847
633,130.9283
634,143.827
635,142.2832
636,107.9441
637,105.6891
638,125.4007
639,106.4195
640,118.5371
641,136.7836
642,145.9328
643,129.637
644,108.4955
645,121.2537
646,135.7399
647,137.5026
648,124.0052
649,128.8613
650,133.6811
651,106.5185
652,113.0398
653,125.9639
654,140.2945
655,143.229
656,145.8063
657,128.1697
658,134.1839
659,140.2166
660,146.3453
661,132.0784
662,122.13
663,131.4693
664,129.5167
665,125.7451
666,153.1384
667,124.5559
668,134.8225
669,115.3877
670,117.9618
671,124.5647
672,134.4043
673,129.3092
674,133.1423
675,147.3609
676,155.0132
677,126.2905
678,134.4605
679,134.0296
680,128.9248
681,123.0543
682,112.1788
683,111.7443
684,148.4615
685,136.7459
686,133.2068
687,116.8855
688,124.8542
689,121.5809
690,123.197
691,137.1255
692,121.4941
693,150.9398
694,142.3009
695,134.7527
696,133.5585
697,136.0895
698,95.20216
699,119.7404
700,152.9146
701,140.1991
702,145.2503
703,119.4855
704,123.512
705,110.6754
706,111.4951
707,139.4849
708,133.088
709,133.5196
710,112.7698
711,124.7975
712,123.4224
713,142.0921
714,116.2814
715,131.1256
716,131.2493
717,127.2422
718,122.4523
719,115.2431
720,126.9532
721,143.4439
722,125.377
723,109.0095
724,139.2411
725,102.182
726,144.3898
727,83.08527
728,145.3938
729,134.9267
730,134.678
731,111.4963
732,119.7951
733,95.70426
734,117.159
735,127.2356
736,144.9205
737,122.8464
738,134.19
739,124.9776
740,135.8441
741,120.8222
742,125.0174
743,133.5474
744,124.5583
745,135.9691
746,143.5738
747,130.5725
748,127.192
749,141.2372
750,107.4236
751,122.3234
752,111.6055
753,137.8915
754,142.8742
755,114.4349
756,128.2736
757,134.5725
758,140.1034
759,121.977
760,111.4248
761,135.0756
762,132.9826
763,117.7566
764,134.9877
765,151.6121
766,128.9287
767,120.1575
768,125.6007
769,127.8292
770,136.1354
771,116.2841
772,127.0777
773,125.7165
774,121.0749
775,122.7382
776,119.4545
777,132.9048
778,132.8687
779,124.3486
780,132.2198
781,142.804
782,129.605
783,128.5326
784,112.9919
785,122.0795
786,118.396
787,130.1299
788,111.6824
789,142.2452
790,122.6049
791,122.8198
792,119.1123
793,139.4335
794,141.3353
795,119.787
796,136.326
797,118.4099
798,137.692
799,129.078
800,123.4642
801,115.4311
802,129.931
803,135.9563
804,127.8134
805,139.1014
806,109.2132
807,124.6154
808,136.221
809,120.4722
810,116.1659
811,115.5093
812,141.9961
813,135.4869
814,135.1305
815,108.2494
816,125.1277
817,142.8947
818,128.2978
819,128.268
820,103.5665
821,156.1069
822,104.9661
823,121.6365
824,132.0066
825,118.4079
826,135.3898
827,140.6633
828,111.6703
829,128.0328
830,130.4737
831,128.2127
832,142.8202
833,123.0804
834,117.8771
835,130.9274
836,129.1735
837,144.5784
838,115.8635
839,116.5322
840,141.9947
841,132.1304
842,135.2607
843,127.0684
844,129.844
845,134.5066
846,121.3609
847,143.1486
848,124.7741
849,120.1546
850,139.4163
851,131.6743
852,131.07
853,129.8914
854,123.344
855,137.5314
856,136.8886
857,118.4024
858,116.2441
859,124.8433
860,120.9809
861,105.1208
862,145.4377
863,108.1912
864,130.3778
865,117.5157
866,135.8762
867,127.5126
868,151.3998
869,112.4799
870,156.7554
871,138.2098
872,109.5685
873,139.9742
874,124.5873
875,130.5023
876,151.0783
877,108.7722
878,105.9927
879,143.4301
880,114.7434
881,123.7736
882,139.4769
883,115.8201
884,146.5682
885,153.9993
886,137.5899
887,125.9287
888,139.6939
889,126.3585
890,113.9307
891,129.7605
892,116.1925
893,139.1294
894,126.9815
895,125.8352
896,113.524
897,123.2372
898,123.0554
899,128.133
900,127.9357
901,110.4678
902,127.9364
903,118.1678
904,129.7243
905,130.6094
906,105.0414
907,122.6299
908,138.3259
909,107.7381
910,141.4417
911,153.6966
912,134.5551
913,109.6593
914,117.2029
915,124.2843
916,125.2193
917,133.2256
918,122.6042
919,134.8652
920,111.4506
921,116.8458
922,143.1527
923,99.92383
924,127.9232
925,136.658
926,145.3947
927,126.6818
928,128.1983
929,122.8328
930,133.2571
931,116.7606
932,144.0455
933,132.5153
934,123.9832
935,113.1423
936,123.9512
937,133.9787
938,128.1519
939,121.2878
940,122.7107
941,125.4136
942,124.8761
943,116.5903
944,129.889
945,123.889
946,137.6571
947,130.8805
948,141.9706
949,125.7334
950,104.4108
951,117.0685
952,131.7669
953,125.4738
954,129.5734
955,130.1053
956,131.9305
957,142.4645
958,127.6431
959,153.3153
960,126.7609
961,114.0258
962,133.9684
963,127.5869
964,126.4859
965,120.7651
966,126.6479
967,133.0747
968,125.9649
969,121.3206
970,129.7824
971,130.0549
972,123.4005
973,137.2791
974,127.7554
975,133.6853
976,113.9275
977,135.6168
978,122.6005
979,118.9472
980,134.2703
981,124.2747
982,130.6981
983,124.6797
984,129.0839
985,121.9456
986,126.2689
987,134.6122
988,131.8476
989,103.5828
990,116.3925
991,123.5095
992,150.3395
993,135.2437
994,112.4584
995,137.4861
996,132.7902
997,126.0286
998,141.3591
999,135.9065
1000,134.6655
1001,122.0232
1002,128.3502
1003,130.6354
1004,131.717
1005,108.6132
1006,114.5673
1007,133.5136
1008,135.8641
1009,148.1093
1010,123.5179
1011,120.8406
1012,116.2666
1013,123.8986
1014,119.32
1015,119.4097
1016,124.5933
1017,130.8802
1018,118.2058
1019,109.6357
1020,140.2298
1021,121.5764
1022,98.30262
1023,117.6173
1024,136.5104
1025,148.9791
1026,123.9665
1027,133.5957
1028,117.2334
1029,123.5943
1030,117.7674
1031,137.2321
1032,129.1996
1033,142.4032
1034,128.4838
1035,115.3008
1036,119.5309
1037,121.7224
1038,142.8442
1039,110.1171
1040,122.0958
1041,124.8188
1042,119.3169
1043,132.4571
1044,133.0316
1045,160.8831
1046,119.127
1047,138.516
1048,124.8232
1049,135.9744
1050,116.2254
1051,139.2002
1052,137.983
1053,144.5084
1054,109.1938
1055,127.228
1056,124.5517
1057,114.926
1058,132.5027
1059,125.3892
1060,128.4988
1061,117.7319
1062,112.9531
1063,126.1835
1064,118.7934
1065,125.4388
1066,124.9451
1067,145.5139
1068,116.7836
1069,132.5216
1070,114.8933
1071,122.8594
1072,130.5782
1073,119.1058
1074,133.8204
1075,128.5779
1076,139.0179
1077,101.2876
1078,140.958
1079,134.6146
1080,129.9482
1081,139.064
1082,135.1996
1083,129.682
1084,129.1395
1085,129.0051
1086,112.7357
1087,126.1123
1088,118.3724
1089,122.9731
1090,130.3663
1091,114.226
1092,115.7854
1093,137.9526
1094,112.2435
1095,137.237
1096,124.9418
1097,135.0961
1098,114.4199
1099,122.1823
1100,129.375
1101,129.9448
1102,140.4557
1103,120.8977
1104,129.159
1105,137.1397
1106,145.2218
1107,140.0956
1108,124.12
1109,135.6875
1110,127.756
1111,144.0475
1112,131.9333
1113,135.5263
1114,151.3579
1115,124.7073
1116,135.274
1117,136.5388
1118,137.8778
1119,114.2066
1120,141.5844
1121,111.0969
1122,126.3868
1123,132.8885
1124,144.7904
1125,108.3859
1126,124.1348
1127,129.4462
1128,131.3339
1129,111.6411
1130,111.6422
1131,140.3178
1132,125.5286
1133,114.49
1134,113.998
1135,117.1931
1136,138.3156
1137,122.3712
1138,132.9431
1139,124.0449
1140,144.1591
1141,115.4581
1142,116.5192
1143,139.6139
1144,133.2364
1145,120.025
1146,123.1111
1147,132.8462
1148,120.9359
1149,129.7702
1150,136.9118
1151,131.121
1152,133.484
1153,136.3871
1154,131.4559
1155,126.1986
1156,115.046
1157,130.3178
1158,131.6954
1159,135.6519
1160,120.3029
1161,129.1442
1162,150.2167
1163,120.2076
1164,132.153
1165,132.1247
1166,119.5029
1167,136.7629
1168,147.7846
1169,145.5992
1170,124.9662
1171,127.902
1172,125.9147
1173,109.6821
1174,107.7733
1175,134.1099
1176,134.901
1177,139.6364
1178,127.0273
1179,134.7717
1180,99.97124
1181,129.4522
1182,129.3592
1183,103.6594
1184,115.7327
1185,104.8874
1186,131.0054
1187,129.0709
1188,102.5494
1189,133.2257
1190,146.3008
1191,140.8125
1192,132.4618
1193,118.8437
1194,133.4495
1195,134.882
1196,129.6789
1197,136.7318
1198,133.9981
1199,128.1324
1200,130.2482
1201,130.2934
1202,128.3208
1203,134.0501
1204,140.5808
1205,115.1936
1206,135.8445
1207,142.8508
1208,143.0931
1209,114.9519
1210,149.4261
1211,132.0558
1212,127.0174
1213,103.3615
1214,125.3216
1215,130.6423
1216,124.3662
1217,140.6019
1218,124.229
1219,132.9642
1220,130.2067
1221,106.6241
1222,108.9888
1223,109.9473
1224,124.363
1225,131.5021
1226,137.4264
1227,116.0228
1228,117.9061
1229,116.7259
1230,115.4633
1231,129.9734
1232,148.9128
1233,126.0818
1234,115.4952
1235,158.7833
1236,141.2064
1237,129.838
1238,137.0682
1239,123.2428
1240,117.9651
1241,102.4998
1242,130.6338
1243,144.6224
1244,100.1982
1245,120.2937
1246,144.3108
1247,114.8805
1248,141.5328
1249,114.6963
1250,121.6607
1251,119.3241
1252,135.206
1253,115.9409
1254,123.2264
1255,133.0619
1256,136.3442
1257,124.1401
1258,116.2944
1259,133.1669
1260,137.941
1261,133.3173
1262,114.2219
1263,137.6516
1264,131.5375
1265,137.2221
1266,135.1331
1267,113.9257
1268,132.5883
1269,133.5753
1270,106.7793
1271,95.18466
1272,114.2675
1273,126.4804
1274,126.7087
1275,110.9096
1276,132.3678
1277,133.7174
1278,144.0125
1279,129.9098
1280,106.5697
1281,121.9433
1282,118.1623
1283,106.6739
1284,128.444
1285,127.4595
1286,102.93
1287,127.8299
1288,139.7868
1289,133.2813
1290,120.2949
1291,102.4047
1292,134.2056
1293,121.4804
1294,108.2574
1295,145.8469
1296,114.9258
1297,124.6757
1298,113.619
1299,126.2651
1300,124.0382
1301,120.554
1302,124.4235
1303,130.1726
1304,137.2733
1305,126.9051
1306,118.2885
1307,119.6817
1308,134.332
1309,120.0364
1310,140.2713
1311,139.4025
1312,105.1086
1313,140.3289
1314,139.7691
1315,118.4896
1316,121.8301
1317,130.3482
1318,138.2214
1319,119.9847
1320,141.5275
1321,128.0746
1322,122.6639
1323,135.5841
1324,158.7993
1325,103.1971
1326,122.9332
1327,119.343
1328,139.5722
1329,124.1145
1330,132.5483
1331,116.0712
1332,162.8737
1333,131.1394
1334,124.8745
1335,123.738
1336,119.0115
1337,135.4606
1338,139.6563
1339,120.3449
1340,113.0404
1341,115.658
1342,128.6282
1343,96.52385
1344,122.6695
1345,129.3968
1346,128.8422
1347,133.0853
1348,130.1248
1349,138.9119
1350,138.9252
1351,105.9085
1352,135.4393
1353,147.3129
1354,108.7636
1355,128.9625
1356,147.7867
1357,128.5716
1358,127.4285
1359,128.9123
1360,123.3621
1361,122.0501
1362,159.6644
1363,121.5022
1364,124.3686
1365,130.5608
1366,117.7781
1367,147.1473
1368,128.6512
1369,115.6854
1370,104.102
1371,122.4406
1372,124.6131
1373,100.4089
1374,131.8038
1375,134.7575
1376,148.5516
1377,151.3435
1378,121.4032
1379,132.7138
1380,118.1243
1381,120.412
1382,141.4458
1383,129.0597
1384,129.3121
1385,148.5716
1386,112.319
1387,130.0932
1388,123.1712
1389,99.36058
1390,139.1404
1391,131.9771
1392,127.7025
1393,136.8449
1394,126.4916
1395,111.1847
1396,128.5255
1397,123.1419
1398,141.374
1399,127.0178
1400,118.0513
1401,115.3536
1402,136.9275
1403,126.5685
1404,129.216
1405,142.1694
1406,136.578
1407,121.962
1408,146.9053
1409,142.657
1410,140.2292
1411,109.8398
1412,134.8916
1413,127.6066
1414,108.9719
1415,138.4284
1416,151.4509
1417,130.0036
1418,113.0897
1419,129.1464
1420,133.1919
1421,124.866
1422,121.4815
1423,137.8631
1424,125.8314
1425,135.3299
1426,107.3931
1427,144.1915
1428,100.5991
1429,130.1721
1430,140.8988
1431,143.6734
1432,90.29334
1433,130.4148
1434,123.8754
1435,154.0757
1436,137.4948
1437,141.8174
1438,126.8401
1439,131.9545
1440,120.9803
1441,119.7816
1442,127.7472
1443,134.2469
1444,108.5235
1445,125.0611
1446,123.0197
1447,129.8861
1448,154.8178
1449,151.9248
1450,135.6969
1451,127.2047
1452,137.876
1453,124.4771
1454,154.6002
1455,134.0699
1456,117.4639
1457,128.3519
1458,118.1031
1459,127.8238
1460,129.914
1461,131.3221
1462,128.1544
1463,122.8347
1464,143.5868
1465,106.5681
1466,124.9457
1467,113.6761
1468,105.4988
1469,125.3804
1470,120.0159
1471,135.0513
1472,112.0501
1473,126.6445
1474,126.7371
1475,138.6844
1476,143.346
1477,124.6758
1478,119.2154
1479,129.5162
1480,141.2136
1481,124.9304
1482,117.6936
1483,128.117
1484,125.507
1485,139.9115
1486,132.5572
1487,129.5233
1488,139.3905
1489,121.712
1490,122.7607
1491,117.4026
1492,135.9146
1493,123.838
1494,102.8468
1495,119.3281
1496,104.4281
1497,129.2376
1498,138.2296
1499,138.6461
1500,130.4121
1501,124.4317
1502,127.9011
1503,125.2683
1504,121.1672
1505,128.1437
1506,121.494
1507,129.3746
1508,127.4765
1509,113.1406
1510,132.5812
1511,110.5741
1512,139.194
1513,128.757
1514,132.9714
1515,125.0153
1516,95.80713
1517,152.9084
1518,121.217
1519,127.448
1520,120.2754
1521,127.4945
1522,111.026
1523,153.5447
1524,110.9415
1525,121.0967
1526,123.5086
1527,116.363
1528,134.9384
1529,113.8451
1530,113.0531
1531,127.5692
1532,125.1506
1533,115.4493
1534,138.9409
1535,133.292
1536,130.5079
1537,114.2578
1538,137.6167
1539,114.5218
1540,139.4884
1541,124.6962
1542,130.045
1543,141.782
1544,125.4556
1545,119.1796
1546,107.0361
1547,125.3591
1548,115.7565
1549,128.7986
1550,129.3747
1551,145.662
1552,123.6062
1553,124.6278
1554,122.7439
1555,120.2892
1556,128.6295
1557,111.5271
1558,117.7437
1559,109.4645
1560,132.9405
1561,124.1881
1562,136.8094
1563,143.1901
1564,117.3002
1565,130.8166
1566,137.4417
1567,128.97
1568,114.6422
1569,138.4685
1570,123.19
1571,121.9934
1572,149.3778
1573,137.21
1574,138.6653
1575,118.8309
1576,116.7297
1577,131.5675
1578,129.5762
1579,131.4946
1580,125.1984
1581,131.8467
1582,121.0286
1583,121.8685
1584,147.9118
1585,130.6309
1586,139.9751
1587,126.6522
1588,116.7992
1589,132.4308
1590,130.6493
1591,132.6351
1592,124.4934
1593,129.6396
1594,131.2952
1595,121.3845
1596,116.8423
1597,143.4353
1598,140.0996
1599,127.1524
1600,116.4033
1601,145.5938
1602,136.0613
1603,126.2249
1604,130.9905
1605,131.7105
1606,125.1818
1607,147.0456
1608,109.3503
1609,120.7578
1610,112.4772
1611,138.4517
1612,136.7186
1613,136.0144
1614,148.7104
1615,120.4476
1616,133.5431
1617,140.0484
1618,129.0091
1619,121.0921
1620,125.6694
1621,117.6691
1622,133.959
1623,121.968
1624,135.3754
1625,111.6269
1626,117.3099
1627,131.75
1628,130.3517
1629,124.7463
1630,127.5476
1631,118.5713
1632,118.7344
1633,117.239
1634,127.4872
1635,128.9596
1636,147.7036
1637,132.158
1638,129.6624
1639,142.583
1640,123.1966
1641,114.619
1642,134.1679
1643,129.3978
1644,133.0797
1645,130.0722
1646,139.2852
1647,131.5521
1648,135.3276
1649,130.5668
1650,144.8947
1651,121.8662
1652,110.649
1653,150.0971
1654,123.8581
1655,128.4226
1656,125.197
1657,129.7427
1658,125.7215
1659,132.001
1660,140.054
1661,114.1178
1662,116.1322
1663,117.7071
1664,131.2855
1665,113.6105
1666,144.7629
1667,141.6047
1668,140.0213
1669,108.4237
1670,117.2512
1671,126.77
1672,135.074
1673,132.0189
1674,109.2101
1675,127.8589
1676,122.0737
1677,137.6851
1678,127.5918
1679,111.5819
1680,121.3966
1681,138.8427
1682,116.5048
1683,137.4424
1684,121.9768
1685,116.8105
1686,126.0482
1687,114.7284
1688,126.7487
1689,131.342
1690,119.0926
1691,137.8646
1692,129.5914
1693,128.105
1694,137.4504
1695,129.6324
1696,133.4823
1697,124.7911
1698,113.9428
1699,116.8399
1700,138.7521
1701,125.4607
1702,130.5948
1703,134.2699
1704,143.4724
1705,142.254
1706,139.8464
1707,132.4897
1708,138.5529
1709,123.1153
1710,132.6998
1711,106.6149
1712,134.9917
1713,130.92
1714,122.4887
1715,136.0645
1716,119.5334
1717,117.7405
1718,115.5734
1719,104.7006
1720,123.6592
1721,138.5289
1722,132.2257
1723,117.2914
1724,141.6933
1725,129.6313
1726,94.51219
1727,120.6412
1728,121.3762
1729,133.2667
1730,127.9032
1731,123.3962
1732,136.9675
1733,114.1357
1734,118.0845
1735,121.8608
1736,145.5199
1737,128.9862
1738,110.4729
1739,126.9126
1740,141.1132
1741,138.183
1742,132.6335
1743,127.2025
1744,146.2561
1745,141.6517
1746,126.5209
1747,121.554
1748,116.5904
1749,139.0275
1750,116.2031
1751,115.7431
1752,116.8138
1753,138.6574
1754,108.5229
1755,133.6747
1756,128.0916
1757,128.6687
1758,115.4484
1759,125.0018
1760,136.4816
1761,121.9301
1762,126.8874
1763,119.9595
1764,142.2743
1765,129.9792
1766,131.1604
1767,128.8601
1768,111.9433
1769,132.3867
1770,134.2844
1771,127.6919
1772,114.5415
1773,138.1499
1774,140.358
1775,125.9099
1776,134.4383
1777,136.6572
1778,123.5248
1779,130.345
1780,149.8413
1781,115.5647
1782,109.6661
1783,108.8823
1784,112.3914
1785,130.0139
1786,136.8066
1787,111.1892
1788,119.3179
1789,120.1224
1790,124.093
1791,117.8442
1792,142.1545
1793,122.3342
1794,115.7081
1795,136.5833
1796,120.5965
1797,121.269
1798,133.5937
1799,127.541
1800,139.1153
1801,140.4052
1802,124.3543
1803,136.9707
1804,136.9799
1805,129.9913
1806,113.6199
1807,127.6126
1808,117.966
1809,127.2407
1810,123.8412
1811,121.2687
1812,118.5378
1813,115.4182
1814,131.2651
1815,110.3212
1816,129.2128
1817,140.8802
1818,121.1068
1819,134.4281
1820,116.2489
1821,117.8009
1822,126.455
1823,137.1076
1824,152.1776
1825,128.6175
1826,113.9725
1827,105.9582
1828,134.3052
1829,132.4565
1830,134.3756
1831,146.8833
1832,131.2724
1833,132.9619
1834,140.4684
1835,144.838
1836,129.261
1837,138.036
1838,125.5747
1839,129.4743
1840,129.4677
1841,105.1944
1842,125.2679
1843,128.237
1844,123.3362
1845,110.8623
1846,114.4586
1847,137.2435
1848,125.8706
1849,140.8451
1850,131.2554
1851,140.12
1852,138.8613
1853,117.374
1854,109.9978
1855,129.4122
1856,135.1643
1857,108.1378
1858,146.3046
1859,127.6499
1860,133.5096
1861,124.8396
1862,123.4209
1863,125.1731
1864,116.5013
1865,124.5635
1866,132.8562
1867,124.2136
1868,137.6254
1869,112.2365
1870,117.92
1871,107.1366
1872,127.8631
1873,119.5914
1874,129.7663
1875,126.2753
1876,120.6916
1877,147.2496
1878,123.8089
1879,124.9097
1880,129.2576
1881,133.2142
1882,134.9818
1883,115.4612
1884,114.2201
1885,126.4372
1886,121.5315
1887,137.3384
1888,130.1496
1889,149.3463
1890,131.8088
1891,124.5172
1892,124.094
1893,146.9701
1894,135.8346
1895,121.4131
